2,大迫今シーズン3点目のゴールシーンの始まり,166
3,ルーニーのスルーパスからウェルベックのゴールが決まる,124
3,細かいパス回しから3点目を奪う始まりのシーン,101
4,本田フリーにもかかわらず、パスがこない,104
4,本田のコーナーキックから決定機が生まれるが決めきれず,183
4,本田ディフェンスで決定機をつくらせず,425
4,ウディネーゼゴールシーン,496
5,パラシオのヘディングゴール,230
6,ハーフナーのゴールシーンのはじまり,8
7,大迫アシストのコーナーキック,15
7,大迫のボール奪取から決定機が生まれる,60
7,大迫、守備で相手の決定機を防ぐ,221
7,エリア内、グラウンダーでいいボールが入ったが大迫わずかに届かず,405
7,エリア外からのシュート、枠に飛ぶがキーパーキャッチ,446
7,試合終了間際、大迫ヘディングでの得点,557
