大迫３ゴール目!,アーレン戦、大迫は味方のロングパスを頭で落として味方にパス、折り返しを左足でゴールに流し込んだ。,http://www.youtube.com/watch?v=ZkSAcbAS8pA
大迫タッチ集 vs アーレン,1860ミュンヘンはアーレンと対戦した。大迫は1トップで先発出場し、今季３点目を挙げる活躍を見せた。,http://www.youtube.com/watch?v=viTCDiMieUc
香川タッチ集 vs ウェスト・ブロムウィッチ,香川はヤヌザイに代わり76分から途中出場した。香川、マタ、フェライニ、ルーニーらの細かいパスワークで3点目に絡んだ。,http://www.youtube.com/watch?v=Wh0FG3j5ZGk
本田タッチ集 vs ウディネーゼ,ミランはアウェーでウディネーゼと対戦。本田は先発フル出場した。しかし、ミランは簡単なミスを連発。本田も例外ではない。特に右足の精度の悪いクロスが目立った。試合は０−１で敗れた。,http://www.youtube.com/watch?v=_HNLKTCiXY0
長友タッチ集 vs トリノ,インテルのホームでトリノと激突。パラシオのヘディングゴールでインテルが1-0で勝利した。長友はフル出場したが目立った活躍はなかった。,https://www.youtube.com/watch?v=qvYzDIwMKiY#t=0
ハーフナー・マイク vs NAC,フィテッセはアウェーでNACと戦った。ハーフナーはフル出場し、左足で今季９点目の勝ち越しゴールを決めた。試合は２−１でフィテッセが勝利した。,http://www.youtube.com/watch?v=gD47-XFgt0o
